block_number,slot,block_datetime_utc,block_timestamp_unix,age_raw,age_seconds_at_scrape,blobs_count,blobs_percent,txn_count,fee_recipient,gas_used,gas_used_percent,gas_limit,base_fee_gwei,reward_eth,burnt_fees_eth,burnt_fees_percent,source_page,source_row,source_url,scraped_at_utc
24884255,14118379,2026-04-15T09:16:11+00:00,1776244571,16 hrs ago,57600,0,0,249,quasarbuilder,25232307,42.05,60000000,0.069,0.00556,0.001751,23.93,50,59,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884256,14118380,2026-04-15T09:16:23+00:00,1776244583,16 hrs ago,57600,0,0,164,quasarbuilder,15503744,25.84,60000000,0.068,0.00596,0.001055,15.02,50,58,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884257,14118381,2026-04-15T09:16:35+00:00,1776244595,16 hrs ago,57600,0,0,85,quasarbuilder,3583080,5.97,60000000,0.063,0.00075,0.000229,23.31,50,57,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884258,14118382,2026-04-15T09:16:47+00:00,1776244607,16 hrs ago,57600,7,33,538,Titan Builder,53385158,88.98,60000000,0.056,0.01529,0.003037,16.56,50,56,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884259,14118383,2026-04-15T09:16:59+00:00,1776244619,16 hrs ago,57600,0,0,79,quasarbuilder,3121251,5.2,60000000,0.062,0.00035,0.000195,35.63,50,55,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884260,14118384,2026-04-15T09:17:11+00:00,1776244631,16 hrs ago,57600,0,0,313,MEV Builder: 0xd87f...d96,30331306,50.55,60000000,0.055,0.00994,0.001681,14.46,50,54,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884261,14118385,2026-04-15T09:17:23+00:00,1776244643,16 hrs ago,57600,3,14,60,quasarbuilder,4742707,7.91,59941408,0.055,0.00023,0.000263,53.04,50,53,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884262,14118386,2026-04-15T09:17:35+00:00,1776244655,16 hrs ago,57600,7,33,507,Titan Builder,53975357,89.96,59999943,0.049,0.02588,0.002681,9.39,50,52,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884263,14118387,2026-04-15T09:17:47+00:00,1776244667,16 hrs ago,57600,1,5,92,Titan Builder,10244220,17.09,59941351,0.054,0.01632,0.00056,3.31,50,51,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884264,14118388,2026-04-15T09:17:59+00:00,1776244679,16 hrs ago,57600,1,5,317,quasarbuilder,55078238,91.8,59999886,0.05,0.00526,0.002762,34.42,50,50,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884265,14118389,2026-04-15T09:18:11+00:00,1776244691,16 hrs ago,57600,19,90,484,BuilderNet,59370011,98.95,60000000,0.055,0.01032,0.003288,24.16,50,49,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884266,14118390,2026-04-15T09:18:23+00:00,1776244703,16 hrs ago,57600,1,5,160,quasarbuilder,18889307,31.48,60000000,0.062,0.0063,0.001174,15.69,50,48,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884267,14118391,2026-04-15T09:18:35+00:00,1776244715,16 hrs ago,57600,0,0,360,Titan Builder,36701878,61.17,60000000,0.059,0.01151,0.002176,15.89,50,47,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884268,14118392,2026-04-15T09:18:47+00:00,1776244727,16 hrs ago,57600,0,0,45,quasarbuilder,2087793,3.48,60000000,0.06,0.00064,0.000127,16.55,50,46,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884269,14118393,2026-04-15T09:18:59+00:00,1776244739,16 hrs ago,57600,12,57,427,BuilderNet,38906509,64.84,60000000,0.053,0.01006,0.002095,17.23,50,45,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884270,14118394,2026-04-15T09:19:11+00:00,1776244751,16 hrs ago,57600,0,0,259,Titan Builder,25941810,43.24,60000000,0.055,0.01842,0.001449,7.29,50,44,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884271,14118395,2026-04-15T09:19:23+00:00,1776244763,16 hrs ago,57600,6,29,207,quasarbuilder,15091719,25.15,60000000,0.054,0.00594,0.000829,12.23,50,43,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884272,14118396,2026-04-15T09:19:35+00:00,1776244775,16 hrs ago,57600,0,0,54,quasarbuilder,4235666,7.06,60000000,0.051,0.00026,0.000218,45.05,50,42,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
24884273,14118397,2026-04-15T09:19:47+00:00,1776244787,16 hrs ago,57600,0,0,364,MEV Builder: 0xd87f...d96,31632217,52.72,60000000,0.045,0.00872,0.001454,14.28,50,41,https://etherscan.io/blocks?ps=100&p=50,2026-04-16T01:51:08+00:00
